ID,Konu,Gönderen,İçerik,Kategori
1,Hesabınız askıya alındı,support@sinoetqxqh.com,"Sayın kullanıcı,

Hesabınızla ilgili ciddi bir güvenlik problemi tespit edilmiştir. Lütfen aşağıdaki bağlantıya tıklayın ve hesabınızı hemen doğrulayın:

🔗 verify@sinoetqxqh.com",Oltalama
2,Hesap güvenliği güncellemesi,info@xzgedhmvjc.com,"Sayın [Adınız],

Hesabınız başarıyla güncellenmiştir. Faturalarınızı görmek ve işlem geçmişinizi kontrol etmek için lütfen aşağıdaki bağlantıyı kullanın:

🔗 account@xzgedhmvjc.com",Güvenilir
3,Hesap güvenliği güncellemesi,support@vihrmkzzet.com,"Sayın kullanıcı,

Hesabınızla ilgili ciddi bir güvenlik problemi tespit edilmiştir. Lütfen aşağıdaki bağlantıya tıklayın ve hesabınızı hemen doğrulayın:

🔗 verify@vihrmkzzet.com",Oltalama
4,Hesap özetiniz,info@kgavvcduah.com,"Sayın [Adınız],

Hesabınız başarıyla güncellenmiştir. Faturalarınızı görmek ve işlem geçmişinizi kontrol etmek için lütfen aşağıdaki bağlantıyı kullanın:

🔗 account@kgavvcduah.com",Güvenilir
5,Güvenlik açığı tespiti,support@dhhqklisop.com,"Sayın kullanıcı,

Hesabınızla ilgili ciddi bir güvenlik problemi tespit edilmiştir. Lütfen aşağıdaki bağlantıya tıklayın ve hesabınızı hemen doğrulayın:

🔗 verify@dhhqklisop.com",Oltalama
6,Yeni işlem bildirimleri,info@tkchaftwqv.com,"Sayın [Adınız],

Hesabınız başarıyla güncellenmiştir. Faturalarınızı görmek ve işlem geçmişinizi kontrol etmek için lütfen aşağıdaki bağlantıyı kullanın:

🔗 account@tkchaftwqv.com",Güvenilir
7,Güvenlik açığı tespiti,support@xasinlfjxu.com,"Sayın kullanıcı,

Hesabınızla ilgili ciddi bir güvenlik problemi tespit edilmiştir. Lütfen aşağıdaki bağlantıya tıklayın ve hesabınızı hemen doğrulayın:

🔗 verify@xasinlfjxu.com",Oltalama
8,Hesap güvenliği güncellemesi,info@uoaqafzlmm.com,"Sayın [Adınız],

Hesabınız başarıyla güncellenmiştir. Faturalarınızı görmek ve işlem geçmişinizi kontrol etmek için lütfen aşağıdaki bağlantıyı kullanın:

🔗 account@uoaqafzlmm.com",Güvenilir
9,Faturanız ödenmedi,support@pdagznipji.com,"Sayın kullanıcı,

Hesabınızla ilgili ciddi bir güvenlik problemi tespit edilmiştir. Lütfen aşağıdaki bağlantıya tıklayın ve hesabınızı hemen doğrulayın:

🔗 verify@pdagznipji.com",Oltalama
10,İşlem onayı talebi,info@cxgkyvsgxc.com,"Sayın [Adınız],

Hesabınız başarıyla güncellenmiştir. Faturalarınızı görmek ve işlem geçmişinizi kontrol etmek için lütfen aşağıdaki bağlantıyı kullanın:

🔗 account@cxgkyvsgxc.com",Güvenilir
